cond,rep,timept,mean_fit
Glu,1,1,0.18026785154875258
Glu,1,2,0.22579118352355396
Glu,1,3,0.20887503451253062
Glu,1,4,0.28742765095162764
Glu,2,1,0.16676024974333026
Glu,2,2,0.22340341730279065
Glu,2,3,0.2175700214942554
Glu,2,4,0.24422686040594077
Glu,3,1,0.20647899422405647
Glu,3,2,0.2614918704196137
Glu,3,3,0.25164912207521906
Glu,3,4,0.28626841402821634
Gal,1,1,0.04865114681960221
Gal,1,2,0.1724109847286551
Gal,1,3,0.1406476456822865
Gal,1,4,0.26836424539856785
Gal,2,1,0.04944284224916939
Gal,2,2,0.1557130411197007
Gal,2,3,0.19166238954381265
Gal,2,4,0.23331486722699513
Gal,3,1,0.05518102028975487
Gal,3,2,0.15088574221183507
Gal,3,3,0.2102057532798392
Gal,3,4,0.24647871959733544
L,1,1,0.03545494361960751
L,1,2,0.1543801713158952
L,1,3,0.08748836226346471
L,1,4,0.1344521491932945
L,2,1,0.09533521149759669
L,2,2,0.03859043367835531
L,2,3,0.1306651790391858
L,2,4,0.11440498076446491
L,3,1,0.08081843212631037
L,3,2,0.07044973953403026
L,3,3,0.1227759773030121
L,3,4,0.1039597240174687
high_H_H,1,1,-5.307681658277696
high_H_H,1,2,3.1744546319023144
high_H_H,1,3,-3.8495975622361516
high_H_H,1,4,2.1198337786301398
high_H_H,2,1,0.7621734927405132
high_H_H,2,2,4.22018163647337
high_H_H,2,3,-6.076704796712301
high_H_H,2,4,4.137029281784034
high_H_H,3,1,1.4831598590605342
high_H_H,3,2,-1.9260363225605073
high_H_H,3,3,3.9541883651465572
high_H_H,3,4,-4.136620440805276
N,1,1,0.3164721509208071
N,1,2,0.5528743524031732
N,1,3,0.8506499743035476
N,1,4,1.1233638329230078
N,2,1,0.2488667357420912
N,2,2,0.5977495407071152
N,2,3,0.7509276424583995
N,2,4,1.0648021385044575
N,3,1,0.29263375838161837
N,3,2,0.6059906245931438
N,3,3,0.780591109442878
N,3,4,1.076723746024524
