cond,rep,mean_est,mean_est_std
Glu,1,0.21975202110127334,9.899115521233585e-06
Glu,2,0.21803861705166092,3.6555762370928715e-06
Glu,3,0.22269195040396536,4.0314976064555625e-06
Gal,1,0.2203682742938012,4.48323341753251e-06
Gal,2,0.2184645315853594,4.858172410935936e-06
Gal,3,0.21715783643521688,5.170807857966653e-06
L,1,0.2054671809537591,4.998499357616261e-06
L,2,0.16896987920254586,3.606333426453002e-06
L,3,0.1629556626659225,3.5409050846886637e-06
high_H_H,1,0.16321988257427805,3.7312781848131942e-06
high_H_H,2,0.16371368315934604,3.911254204090754e-06
high_H_H,3,0.16379188241001452,4.084217170910062e-06
N,1,0.16419172627811673,4.247099667899568e-06
N,2,0.16454990070444522,4.4035229238193296e-06
N,3,0.1649424263149417,4.553762574686113e-06
